Player,Year,Average of GP,Average of GS,Average of Targets,Average of Receptions,Average of Rec Yds,Average of Rec TDS,Average of Rec Per Game,Average of YPR,Average of YPT,Average of Rush Attempts,Average of Rush Yards,Average of Rush TDs,Average of Rush Y/A,Average of Rush Y/G,Average of Rush A/G,Average of Touches,Average of Scrimmage Yards,Average of Fumbles,Games Played,Games Started,Targets,Receptions,Rec Yds,Rec TDS,Rec Per Game,YPR,YPT,Rush Attempts,Rush Yards,Rush TDs,Rush Y/A,Rush Y/G,Rush A/G,Touches,Scrimmage Yards,Fumbles
Tyreek Hill,2021,15.166666666666666,12.166666666666666,118.0,79.83333333333333,1105.0,9.333333333333334,5.216666666666667,13.866666666666667,9.366666666666665,15.5,119.83333333333333,1.0,7.433333333333333,7.616666666666666,1.0166666666666668,95.33333333333333,1224.8333333333333,1.5,17.0,16.0,159.0,111.0,1239.0,9.0,6.5,11.2,7.8,9.0,96.0,0.0,10.7,5.6,0.5,120.0,1335.0,2.0
Saquon Barkley,2021,11.0,11.0,65.0,47.5,370.5,2.0,3.9749999999999996,8.175,5.824999999999999,164.75,734.25,4.75,3.7750000000000004,55.375,13.75,212.25,1104.75,0.75,13.0,13.0,57.0,41.0,263.0,2.0,3.2,6.4,4.6,162.0,593.0,2.0,3.7,45.6,12.5,203.0,856.0,2.0
Derrick Henry ,2021,14.333333333333334,9.166666666666666,20.833333333333332,15.666666666666666,141.0,0.5,1.2,9.25,7.100000000000001,233.5,1132.8333333333333,10.833333333333334,4.733333333333333,81.98333333333333,17.150000000000002,249.16666666666666,1273.8333333333333,1.8333333333333333,8.0,8.0,20.0,18.0,154.0,0.0,2.3,8.6,7.7,219.0,937.0,10.0,4.3,117.1,27.4,237.0,1091.0,1.0
Josh Jacobs,2021,14.333333333333334,14.0,45.333333333333336,35.666666666666664,250.66666666666666,0.0,2.4333333333333336,7.3,5.599999999999999,244.0,1029.0,9.333333333333334,4.233333333333333,72.53333333333333,17.099999999999998,279.6666666666667,1279.6666666666667,1.6666666666666667,15.0,14.0,64.0,54.0,348.0,0.0,3.6,6.4,5.4,217.0,872.0,9.0,4.0,58.1,14.5,271.0,1220.0,2.0
Nick Chubb,2021,14.5,12.75,30.25,23.0,187.75,0.75,1.5749999999999997,8.325,6.525,227.0,1204.0,9.0,5.324999999999999,83.625,15.675,250.0,1391.75,1.5,14.0,14.0,25.0,20.0,174.0,1.0,1.4,8.7,7.0,228.0,1259.0,8.0,5.5,89.9,16.3,248.0,1433.0,2.0
Rhamondre Stevenson,2021,12.0,2.0,18.0,14.0,123.0,0.0,1.2,8.8,6.8,133.0,606.0,5.0,4.6,50.5,11.1,147.0,729.0,2.0,12.0,2.0,18.0,14.0,123.0,0.0,1.2,8.8,6.8,133.0,606.0,5.0,4.6,50.5,11.1,147.0,729.0,2.0
Aaron Jones,2021,13.8,11.4,49.8,36.6,289.6,2.4,2.6,7.0200000000000005,5.140000000000001,164.4,832.6,8.2,5.16,59.6,11.7,201.0,1122.2,1.6,15.0,15.0,65.0,52.0,391.0,6.0,3.5,7.5,6.0,171.0,799.0,4.0,4.7,53.3,11.4,223.0,1190.0,2.0
Stefon Diggs,2021,14.714285714285714,13.571428571428571,123.42857142857143,85.0,1054.7142857142858,6.857142857142857,5.728571428571429,12.828571428571431,8.742857142857144,4.285714285714286,22.857142857142858,0.0,4.085714285714285,1.5714285714285712,0.3,89.28571428571429,1077.5714285714287,1.0,17.0,17.0,164.0,103.0,1225.0,10.0,6.1,11.9,7.5,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1225.0,1.0
Justin Jefferson,2021,16.5,15.5,146.0,98.0,1508.0,8.5,5.95,15.45,10.45,3.5,8.0,0.0,2.15,0.45,0.25,101.5,1516.0,1.0,17.0,17.0,167.0,108.0,1616.0,10.0,6.4,15.0,9.7,6.0,14.0,0.0,2.3,0.8,0.4,114.0,1630.0,1.0
Jaylen Waddle,2021,16.0,16.0,140.0,104.0,1015.0,6.0,6.5,9.8,7.3,2.0,3.0,1.0,1.5,0.2,0.1,106.0,1018.0,2.0,16.0,16.0,140.0,104.0,1015.0,6.0,6.5,9.8,7.3,2.0,3.0,1.0,1.5,0.2,0.1,106.0,1018.0,2.0
