Player,Year,Average of GP,Average of GS,Average of Targets,Average of Receptions,Average of Rec Yds,Average of Rec TDS,Average of Rec Per Game,Average of YPR,Average of YPT,Average of Rush Attempts,Average of Rush Yards,Average of Rush TDs,Average of Rush Y/A,Average of Rush Y/G,Average of Rush A/G,Average of Touches,Average of Scrimmage Yards,Average of Fumbles,Games Played,Games Started,Targets,Receptions,Rec Yds,Rec TDS,Rec Per Game,YPR,YPT,Rush Attempts,Rush Yards,Rush TDs,Rush Y/A,Rush Y/G,Rush A/G,Touches,Scrimmage Yards,Fumbles,FPoints Predict
Tyreek Hill,2016,16.0,1.0,83.0,61.0,593.0,6.0,3.8,9.7,7.1,24.0,267.0,3.0,11.1,16.7,1.5,85.0,860.0,4.0,16.0,1.0,83.0,61.0,593.0,6.0,3.8,9.7,7.1,24.0,267.0,3.0,11.1,16.7,1.5,85.0,860.0,4.0,205.6
Tyreek Hill,2017,15.5,7.0,94.0,68.0,888.0,6.5,4.4,12.75,9.2,20.5,163.0,1.5,7.3,10.299999999999999,1.3,88.5,1051.0,3.0,15.0,13.0,105.0,75.0,1183.0,7.0,5.0,15.8,11.3,17.0,59.0,0.0,3.5,3.9,1.1,92.0,1242.0,2.0,299.6
Tyreek Hill,2018,15.666666666666666,10.0,108.33333333333333,74.33333333333333,1085.0,8.333333333333334,4.733333333333333,14.166666666666666,9.733333333333333,21.0,159.0,1.3333333333333333,7.166666666666667,10.0,1.3333333333333333,95.33333333333333,1244.0,2.0,16.0,16.0,137.0,87.0,1479.0,12.0,5.4,17.0,10.8,22.0,151.0,1.0,6.9,9.4,1.4,109.0,1630.0,0.0,161.60000000000002
Tyreek Hill,2019,14.75,10.5,103.5,70.25,1028.75,8.0,4.75,14.325,9.725,17.75,125.0,1.0,6.1,7.975,1.175,88.0,1153.75,1.5,12.0,12.0,89.0,58.0,860.0,7.0,4.8,14.8,9.7,8.0,23.0,0.0,2.9,1.9,0.7,66.0,883.0,0.0,295.7
Tyreek Hill,2020,14.8,11.4,109.8,73.6,1078.2,9.4,4.96,14.4,9.68,16.8,124.6,1.2,6.779999999999999,8.02,1.12,90.4,1202.8,1.4,15.0,15.0,135.0,87.0,1276.0,15.0,5.8,14.7,9.5,13.0,123.0,2.0,9.5,8.2,0.9,100.0,1399.0,1.0,248.6
Saquon Barkley,2018,16.0,16.0,121.0,91.0,721.0,4.0,5.7,7.9,6.0,261.0,1307.0,11.0,5.0,81.7,16.3,352.0,2028.0,0.0,16.0,16.0,121.0,91.0,721.0,4.0,5.7,7.9,6.0,261.0,1307.0,11.0,5.0,81.7,16.3,352.0,2028.0,0.0,316.4
Saquon Barkley,2019,14.5,14.5,97.0,71.5,579.5,3.0,4.85,8.15,6.0,239.0,1155.0,8.5,4.8,79.45,16.5,310.5,1734.5,0.5,13.0,13.0,73.0,52.0,438.0,2.0,4.0,8.4,6.0,217.0,1003.0,6.0,4.6,77.2,16.7,269.0,1441.0,1.0,15.8
Saquon Barkley,2020,10.333333333333334,10.333333333333334,67.66666666666667,49.666666666666664,406.3333333333333,2.0,4.233333333333333,8.766666666666667,6.233333333333333,165.66666666666666,781.3333333333334,5.666666666666667,3.8000000000000003,58.63333333333333,14.166666666666666,215.33333333333334,1187.6666666666667,0.3333333333333333,2.0,2.0,9.0,6.0,60.0,0.0,3.0,10.0,6.7,19.0,34.0,0.0,1.8,17.0,9.5,25.0,94.0,0.0,185.40000000000003
Derrick Henry ,2016,15.0,2.0,15.0,13.0,137.0,0.0,0.9,10.5,9.1,110.0,490.0,5.0,4.5,32.7,7.3,123.0,627.0,0.0,15.0,2.0,15.0,13.0,137.0,0.0,0.9,10.5,9.1,110.0,490.0,5.0,4.5,32.7,7.3,123.0,627.0,0.0,201.9
Derrick Henry ,2017,15.5,2.0,16.0,12.0,136.5,0.5,0.8,11.45,8.55,143.0,617.0,5.0,4.35,39.6,9.15,155.0,753.5,0.5,16.0,2.0,17.0,11.0,136.0,1.0,0.7,12.4,8.0,176.0,744.0,5.0,4.2,46.5,11.0,187.0,880.0,1.0,299.20000000000005
